,Название набора,Рынок,Стадия стартапа,Сервисы,Технологии,type,Сайт
55,Московский акселератор. Трек MarTech,Advertising & Marketing,Ранний рост|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Программа постсопровождения,Big Data|Искусственный интеллект и машинное обучение,1.0,https://i.moscow/moskovskiy-akselerator-martech
56,Московский акселератор. Трек Цифровые сервисы,EdTech|Transport & Logistics|PropTech|RetailTech,Ранний рост|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Программа постсопровождения,Big Data|Биометрия|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение,1.0,https://ma.innoagency.ru/
57,Global Pilots,LegalTech|HRTech|RetailTech|FinTech,Ранний рост|Расширение,Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Поддержка по юридическим / бухгалтерским вопросам |Помощь в выходе на международный рынок|Доступ к потенциальным заказчикам,AR/VR|Интернет вещей|Искусственный интеллект и машинное обучение,0.0,https://globalpilots.tech/
58,MUIV.LAB,EdTech|FinTech,Посевная,Инвестиции|Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Доступ к потенциальным заказчикам|Программа постсопровождения,AR/VR|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение,1.0,https://muivlab.ru/lp/event/
59,Kaspersky Exploring Russia,Travel,Идея|Посевная,Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Маркетинг и продвижение |Доступ к потенциальным заказчикам|Доступ к оборудованию/ лаборатории / облачным сервисам,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,2.0,https://csr.kaspersky.com/kasperskyexploringrussia/main.html 
60,MGNTech,AgroTech|EdTech|PropTech|LegalTech|HRTech|Advertising & Marketing|RetailTech|CleanTech|E-commerce|FinTech|FoodTech|Healthcare,Ранний рост|Посевная,Тестирование продукта |Консультационная поддержка по развитию бизнеса|Доступ к потенциальным заказчикам,3D моделирование|AR/VR|Big Data|Биотехнологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Новые материалы|Робототехника,2.0,https://mgntech.sk.ru/
61,Уралхим – Элемент роста,AgroTech|IndustrialTech|CleanTech|FoodTech,Ранний рост|Посевная,"Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Доступ к потенциальным заказчикам|Финансовая поддержка (субсидии, гранты и т.п.)",Big Data|Биотехнологии|Искусственный интеллект и машинное обучение|Новые материалы|Робототехника,2.0,https://smarthim.ru/
62,Акселератор Татнефть,AgroTech|IndustrialTech|FoodTech|Healthcare,Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Помощь в выходе на международный рынок|Доступ к потенциальным заказчикам,Биотехнологии|Нанотехнологии|Новые материалы,2.0,http://tatneft.vc/
63,Акселератор SAP и Минкомсвязи,Transport & Logistics|HRTech|Business Software|Advertising & Marketing,Ранний рост|Посевная,Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Маркетинг и продвижение |Помощь в выходе на международный рынок|Доступ к потенциальным заказчикам|Доступ к оборудованию/ лаборатории / облачным сервисам,Big Data|Искусственный интеллект и машинное обучение,2.0,https://events.sap.com/ru/accelerator-sap-minsvyaz/ru/home
64,Школьный акселератор SberZ,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Идея,Обучение (образовательные программы),3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,2.0,https://www.school-accelerator.ru/
65,Orange Fab Russia с X5 Retail Group,Transport & Logistics|Advertising & Marketing|RetailTech|E-commerce,Посевная,Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Помощь в выходе на международный рынок|Доступ к потенциальным заказчикам,Big Data|Интернет вещей|Искусственный интеллект и машинное обучение,2.0,https://orangefab.ru/call-for-projects-x5/
66,Московский акселератор. Трек BiomedTech,Healthcare,Ранний рост|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Программа постсопровождения,Big Data|Биотехнологии|Интернет вещей|Искусственный интеллект и машинное обучение,1.0,https://ma.innoagency.ru/biomedtech/
67,Privacy Accelerator,Cybersecurity|LegalTech|Мedia & Communication,Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Маркетинг и продвижение ,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0.0,https://privacyaccelerator.org/
68,Акселератор CloudPayments,FinTech,,,,2.0,https://rb.ru/news/tinkoff-accelerator/
69,"Акселератор
АО «НПО ЭНЕРГОМАШ»",IndustrialTech,Ранний рост|Расширение|Идея|Посевная,"Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Доступ к потенциальным заказчикам|Финансовая поддержка (субсидии, гранты и т.п.)",3D моделирование|AR/VR|Big Data|Аддитивные технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Новые материалы|Робототехника,2.0,https://energoinnovation.sk.ru/
70,ПРОМТЕХ,Transport & Logistics|IndustrialTech|LegalTech|HRTech,Ранний рост,Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Доступ к потенциальным заказчикам,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Блокчейн|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение,0.0,https://promtech.iteco-inno.ru/
71,Акселератор Транспортные инновации Москвы,Transport & Logistics|RetailTech|SafetyTech|E-commerce,Ранний рост|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта ,Big Data|Биометрия|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение,1.0,https://www.ftim.ru/
72,Restart 360,EdTech|SportTech|FashionTech|RetailTech|SafetyTech|Entertainment|Healthcare|Travel|Мedia & Communication,Ранний рост,Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса ,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,1.0,https://restart360.technograd.moscow/
73,Акселератор РСХБ,AgroTech|InsuranceTech|HRTech|Business Software|Advertising & Marketing|FinTech|FoodTech,Ранний рост,Ментор/ консультант для поддержки развития бизнеса |Поддержка по юридическим / бухгалтерским вопросам |Маркетинг и продвижение ,Big Data|Биометрия|Блокчейн|Искусственный интеллект и машинное обучение|Нейротехнологии,2.0,https://rshb.sk.ru/
74,"Акселератор ""Энергия""",IndustrialTech|CleanTech,Ранний рост|Расширение|Посевная,Инвестиции|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Доступ к потенциальным заказчикам,AR/VR|Big Data|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Новые и портативные источники энергии,2.0,https://energyaccelerator.ru/
75,Онлайн-акселератор проекта Rukami,EdTech,,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса ,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,1.0,https://accelerator.rukamifest.com/
76,Game Drive,Gaming,Ранний рост,Инвестиции|Тематические мероприятия (нетворкинг)|Консультационная поддержка по развитию бизнеса,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,2.0,https://mgvc.com/gamedrive
77,ForestTech accelerator,IndustrialTech|HRTech|Advertising & Marketing,Ранний рост|Посевная,"Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Маркетинг и продвижение |Доступ к потенциальным заказчикам|Финансовая поддержка (субсидии, гранты и т.п.)",Big Data|Искусственный интеллект и машинное обучение|Компьютерное зрение|Новые материалы,2.0,https://forest-tech.ru/
78,Киберспортивный акселератор от Winstrike и Starta Ventures,Gaming,Ранний рост|Посевная,"Инвестиции|Тематические мероприятия (нетворкинг)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Финансовая поддержка (субсидии, гранты и т.п.)",3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0.0,http://esports.startaventures.com/
79,Акселератор дорожной отрасли,Transport & Logistics,Ранний рост|Расширение|Идея|Посевная,Обучение (образовательные программы)|Тестирование продукта |Консультационная поддержка по развитию бизнеса|Доступ к потенциальным заказчикам,Big Data|Беспилотники|Интернет вещей|Искусственный интеллект и машинное обучение|Новые и портативные источники энергии,1.0,https://foundrdo.ru/
80,Московский акселератор. Трек EngineeringTech,PropTech|IndustrialTech,Ранний рост|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Программа постсопровождения,3D моделирование|AR/VR|Big Data|Интернет вещей|Искусственный интеллект и машинное обучение,1.0,https://i.moscow/moskovskiy-akselerator-engineeringtech
81,Московский акселератор. Трек BuildTech,PropTech,Ранний рост|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Программа постсопровождения,Big Data|Искусственный интеллект и машинное обучение|Новые материалы,1.0,https://i.moscow/moskovskiy-akselerator-buildtech
82,"Цифровой акселератор устойчивого развития. Трек ""Чистые технологии""",CleanTech,Ранний рост|Посевная,Обучение (образовательные программы)|Тестирование продукта |Консультационная поддержка по развитию бизнеса|Помощь в выходе на международный рынок,Big Data|Интернет вещей|Искусственный интеллект и машинное обучение,0.0,http://sdgeurasia.tech/cleantech
83,"Цифровой акселератор устойчивого развития. Трек ""Безотходные технологии""",CleanTech,Ранний рост|Расширение,Обучение (образовательные программы)|Консультационная поддержка по развитию бизнеса|Помощь в выходе на международный рынок,Новые материалы,0.0,http://sdgeurasia.tech
84,УРАЛСИБ Tech 2021,RetailTech|E-commerce|FinTech,Ранний рост|Посевная,Тестирование продукта |Доступ к потенциальным заказчикам,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,2.0,http://uralsib-tech.fintech-lab.ru/2021
85,Continental SportsTech Accelerator,SportTech|E-commerce|Healthcare|Мedia & Communication,Ранний рост|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Поддержка по юридическим / бухгалтерским вопросам |Маркетинг и продвижение |Помощь в выходе на международный рынок|Доступ к потенциальным заказчикам,AR/VR|Big Data|Интернет вещей|Искусственный интеллект и машинное обучение,0.0,https://sportech.vc/
86,SberStudent,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Идея|Посевная,Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Помощь в формировании команды|Доступ к потенциальным заказчикам,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,2.0,https://sberstudent.sberclass.ru/
87,Московский акселератор. Отраслевой акселератор Росатома,IndustrialTech|CleanTech,Ранний рост|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Программа постсопровождения,3D моделирование|Аддитивные технологии|Зеленые технологии|Новые и портативные источники энергии,1.0,https://i.moscow/moskovskiy-akselerator-rosatom
88,Акселератор сферы услуг МБМ,Consumer Goods & Services,Ранний рост|Расширение,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса ,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,1.0,https://mbm.mos.ru/education/biznes-akselerator/akselerator-sfery-uslug
89,Корпоративный акселератор Почты России ,Transport & Logistics|LegalTech|HRTech|Business Software|RetailTech|E-commerce,Ранний рост,"Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Финансовая поддержка (субсидии, гранты и т.п.)",3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,2.0,https://pochtatech.sk.ru/
90,Московский акселератор. Трек FutureBank,Advertising & Marketing|E-commerce|FinTech,Ранний рост|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Программа постсопровождения,,1.0,https://i.moscow/moskovskiy-akselerator-futurebank
91,Программа открытых инноваций PwC Venture Hub,AgroTech|Transport & Logistics|LegalTech|HRTech|Business Software|FinTech,Ранний рост|Расширение|Посевная,"Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Помощь в выходе на международный рынок|Доступ к потенциальным заказчикам|Финансовая поддержка (субсидии, гранты и т.п.)",3D моделирование|AR/VR|Big Data|Аддитивные технологии|Блокчейн|Интернет вещей|Искусственный интеллект и машинное обучение,0.0,https://www.pwc.ru/ru/services/pwc-russia-accelerator.html 
92,MUIV.LAB,EdTech|Transport & Logistics|Entertainment|Healthcare,Посевная,Инвестиции|Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Доступ к потенциальным заказчикам|Программа постсопровождения,AR/VR|Big Data|Биотехнологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Робототехника,1.0,https://muivlab.ru/lp/event/
93,Global Pilots,EdTech|HRTech|Healthcare,Ранний рост|Расширение,Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Поддержка по юридическим / бухгалтерским вопросам |Помощь в выходе на международный рынок|Доступ к потенциальным заказчикам,AR/VR|Интернет вещей|Искусственный интеллект и машинное обучение,0.0,https://globalpilots.tech/
94,Уралхим – Элемент роста,AgroTech|FoodTech,Ранний рост|Посевная,"Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Доступ к потенциальным заказчикам|Финансовая поддержка (субсидии, гранты и т.п.)",AR/VR|Big Data|Биотехнологии|Интернет вещей|Новые материалы|Робототехника,2.0,https://smarthim.ru/
95,Акселератор Цифрового прорыва,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Доступ к потенциальным заказчикам,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,1.0,https://accel.leadersofdigital.ru/#about
96,StartHub.Moscow,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Ранний рост|Расширение|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Доступ к потенциальным заказчикам,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,1.0,https://starthub.innoagency.ru/
97,Акселератор MTS StartUp Hub ,Advertising & Marketing|RetailTech|E-commerce|Entertainment,Ранний рост|Посевная,Инвестиции|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Поддержка по юридическим / бухгалтерским вопросам |Доступ к потенциальным заказчикам|Помещение для аренды офиса|Доступ к оборудованию/ лаборатории / облачным сервисам,,2.0,https://startup.mts.ru/
98,"Отраслевой акселератор госкорпорации ""Росатом""",IndustrialTech|CleanTech,Ранний рост|Идея|Посевная,"Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Доступ к потенциальным заказчикам|Финансовая поддержка (субсидии, гранты и т.п.)|Доступ к оборудованию/ лаборатории / облачным сервисам",3D моделирование|Аддитивные технологии|Новые и портативные источники энергии|Новые материалы,2.0,https://rosatom.sk.ru/
99,Акселератор Транспортные инновации Москвы,Transport & Logistics|SafetyTech|CleanTech,Ранний рост|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта ,Искусственный интеллект и машинное обучение|Робототехника,1.0,https://www.ftim.ru/
100,Цифровой акселератор СИБУР,EdTech|Gaming|LegalTech|HRTech|Business Software|SafetyTech,Посевная,"Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Доступ к потенциальным заказчикам|Финансовая поддержка (субсидии, гранты и т.п.)",3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,2.0,https://accelerator.sibur.digital/
101,ИНЖЕНЕР 4.0,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Идея,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса ,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,1.0,http://te-mipt.ru/engineer40
102,Школьный акселератор SberZ,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Идея,Обучение (образовательные программы),3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,2.0,https://sber-z.sberclass.ru/
103,Акселератор #Way2A,EdTech|SpaceTech|E-commerce,Ранний рост,Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса ,Интернет вещей|Искусственный интеллект и машинное обучение|Новые и портативные источники энергии|Робототехника,2.0,https://way2a.softlinevp.com/
104,Акселератор ОМК,Transport & Logistics|IndustrialTech|Business Software|RetailTech|CleanTech,Посевная,"Тестирование продукта |Доступ к потенциальным заказчикам|Финансовая поддержка (субсидии, гранты и т.п.)",3D моделирование|Big Data|Аддитивные технологии|Искусственный интеллект и машинное обучение|Компьютерное зрение|Новые материалы,,https://acc.omk.ru/
105,Московский акселератор. Трек PipeIndustryTech,IndustrialTech|CleanTech,Ранний рост|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Программа постсопровождения,3D моделирование,1.0,https://i.moscow/moskovskiy-akselerator/pipeindustrytech
106,Cosmodrome,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта ,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0.0,https://cosmodrome.pro/
107,Акселератор сферы услуг МБМ,Consumer Goods & Services,Ранний рост|Расширение,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса ,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,1.0,https://mbm.mos.ru/education/biznes-akselerator/akselerator-sfery-uslug
108,BuildUP 2021,PropTech,Ранний рост|Посевная,Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Доступ к потенциальным заказчикам,3D моделирование|AR/VR|Интернет вещей|Искусственный интеллект и машинное обучение|Новые материалы|Робототехника,1.0, https://buildup.sk.ru/
109,MGNTech,AgroTech|EdTech|HRTech|Advertising & Marketing|E-commerce|FinTech|FoodTech,Ранний рост|Посевная,Тестирование продукта |Консультационная поддержка по развитию бизнеса|Доступ к потенциальным заказчикам,3D моделирование|AR/VR|Big Data|Биотехнологии|Искусственный интеллект и машинное обучение|Компьютерное зрение|Новые материалы|Робототехника,2.0,https://mgntech.sk.ru/
110,Модульный акселератор HSE Inc ,AgroTech|EdTech|Transport & Logistics|Telecom|HRTech|Advertising & Marketing|RetailTech|E-commerce|Entertainment|FinTech|FoodTech,Ранний рост|Посевная,Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Тестирование продукта |Доступ к потенциальным заказчикам,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,1.0,https://inc.hse.ru/accelerator
111,Privacy Accelerator,Cybersecurity|LegalTech|Мedia & Communication,Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Маркетинг и продвижение ,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0.0,https://privacyaccelerator.org/
112,Формула IT ,Cybersecurity|EdTech|PropTech|Advertising & Marketing|RetailTech|FinTech,Идея|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Помощь в формировании команды|Маркетинг и продвижение |Доступ к потенциальным заказчикам,Big Data|Интернет вещей|Искусственный интеллект и машинное обучение|Робототехника,1.0,https://www.logavc.com/formulait
113,Акселератор Спринт,EdTech|Gaming|Business Software|Healthcare,Ранний рост|Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Консультационная поддержка по развитию бизнеса|Помещение для аренды офиса,3D моделирование|AR/VR|Big Data|Биометрия|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нейротехнологии,,https://sprint.iidf.ru/
114,Акселератор креативных индустрий,Advertising & Marketing,Посевная,Тематические мероприятия (нетворкинг)|Обучение (образовательные программы)|Ментор/ консультант для поддержки развития бизнеса |Доступ к потенциальным заказчикам|Программа постсопровождения,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,2.0,https://a1.createdin.moscow/
