,Название объекта,Рынок,Стадия стартапа,Сервисы,Технологии,type,Сайт
81,A&A Capital,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Идея|Посевная,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,http://aacapital.ru/
82,Genesis Investments,EdTech|Advertising & Marketing|Healthcare,Посевная,Инвестиции|Консультационная поддержка по развитию бизнеса|Маркетинг и продвижение ,Искусственный интеллект и машинное обучение,0,https://genesisinvest.vc/
83,S7 Ventures,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Ранний рост|Посевная,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://s7.vc/
84,Aintrigud ,FoodTech,Идея|Посевная,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,
85,Фонд поддержки проектов НТИ,Transport & Logistics|IndustrialTech|SafetyTech|FoodTech|Healthcare,Ранний рост|Расширение,Инвестиции,AR/VR|Аддитивные технологии|Биотехнологии|Блокчейн|Искусственный интеллект и машинное обучение|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://www.rvc.ru/eco/development_nti/fund_nti/
86,LLL Venture,Healthcare,Идея|Посевная,Инвестиции|Консультационная поддержка по развитию бизнеса,3D моделирование,0,
87,Medcraft Fund,Advertising & Marketing|Healthcare,Идея|Посевная,Инвестиции|Консультационная поддержка по развитию бизнеса|Маркетинг и продвижение ,3D моделирование,0,https://medcraft.fund/
88,Fort Ross Ventures,E-commerce|FinTech,Ранний рост|Расширение,Инвестиции,Интернет вещей|Искусственный интеллект и машинное обучение,0,https://www.fortross.vc/
89,Dating Group Corporate Venture Fund,Entertainment,Расширение,Инвестиции,3D моделирование,0,http://datinggrp.com/#fund
90,MY.GAMES Venture Capital ,Gaming,Идея|Посевная,Инвестиции|Консультационная поддержка по развитию бизнеса|Маркетинг и продвижение ,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://mgvc.com/
91,Digital Disrupt,EdTech|Transport & Logistics|SportTech,Ранний рост|Посевная,Инвестиции|Тематические мероприятия (нетворкинг)|Ментор/ консультант для поддержки развития бизнеса |Консультационная поддержка по развитию бизнеса|Маркетинг и продвижение ,Big Data|Искусственный интеллект и машинное обучение|Новые материалы,0,https://digitaldisrupt.vc/
92,S16 Angels Fund,Business Software|Consumer Goods & Services,Ранний рост|Посевная,Инвестиции|Ментор/ консультант для поддержки развития бизнеса ,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://s16vc.com/
93,Молодежная предпринимательская инициатива,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Идея|Посевная,,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://constructorium.ru/#/main
94, Startup Lab,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Идея|Посевная,Инвестиции|Тематические мероприятия (нетворкинг)|Ментор/ консультант для поддержки развития бизнеса |Консультационная поддержка по развитию бизнеса|Поддержка по юридическим / бухгалтерским вопросам ,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://startup-lab.ru/
95,VPE Capital,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Расширение,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://vpe-capital.com/
96,QPDigital ,Transport & Logistics|Gaming|Healthcare,Ранний рост|Идея|Посевная,Инвестиции,Блокчейн|Искусственный интеллект и машинное обучение,0,https://qp.digital/
97,Протон Капитал,PropTech,Ранний рост,,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,
98,KirovGroup Venture,AgroTech|IndustrialTech|HRTech|Business Software|CleanTech,Идея|Посевная,Инвестиции|Тестирование продукта |Консультационная поддержка по развитию бизнеса,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,http://kirovgroup.vc/
99,Ташир Медика,Healthcare,Ранний рост|Расширение,Инвестиции,Big Data|Аддитивные технологии|Биотехнологии|Искусственный интеллект и машинное обучение|Нейротехнологии|Новые и портативные источники энергии,0,https://tashir-medica.com/
100,SMG Capital ,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Ранний рост|Посевная,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,http://mosunov.ru/#smg
101,GEM Capital,Gaming|Entertainment,Ранний рост|Расширение,Инвестиции,AR/VR|Новые материалы,0,https://gem.capital/
102,Altus Capital ,PropTech|IndustrialTech|Consumer Goods & Services|SafetyTech|CleanTech|FinTech|Healthcare,Ранний рост|Расширение,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,http://altusca.ru/
103,Begin Capital ,Cybersecurity|EdTech|FoodTech|Мedia & Communication,Ранний рост|Посевная,Инвестиции,Искусственный интеллект и машинное обучение,0,https://www.begincl.com/
104,YellowRockets,EdTech|IndustrialTech|Gaming|E-commerce|FinTech,Идея|Посевная,Инвестиции|Ментор/ консультант для поддержки развития бизнеса ,Big Data|Интернет вещей|Искусственный интеллект и машинное обучение|Робототехника,0,https://yellowrockets.vc/
105,Ascent Partners,E-commerce|FinTech|FoodTech,Ранний рост|Идея|Посевная,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://ascentp.com/
106,GamesBoost42,Gaming|Entertainment,Ранний рост,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://gamesboost42.com/
107,Авенир,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Ранний рост|Посевная,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://avenirco.ru/
108,Vershina Capital,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Ранний рост|Посевная,Инвестиции|Ментор/ консультант для поддержки развития бизнеса ,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://vershina.vc/
109,AdFirst,Advertising & Marketing,Ранний рост,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://adfirst.vc/
110,Svetofor Ventures,LegalTech|FinTech|Healthcare,Ранний рост|Посевная,Инвестиции|Ментор/ консультант для поддержки развития бизнеса |Поддержка по юридическим / бухгалтерским вопросам |Маркетинг и продвижение ,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,http://svetofor.vc/
111,MR Ventures ,PropTech,Ранний рост|Посевная,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://www.mr-group.ru/news/mr-group-sozdala-korporativnyy-venchurnyy-fond-mr-ventures-dlya-investitsiy-v-tekhnologicheskie-star/
112,NRG Ventures,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Ранний рост|Идея|Посевная,Инвестиции|Ментор/ консультант для поддержки развития бизнеса |Маркетинг и продвижение ,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,http://nrgvc.com/
113,The Games Fund,Gaming,Ранний рост|Идея|Посевная,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://gamesfund.vc/
114,Sailing Startup VC Fund,,Идея|Посевная,,,0,https://sailingstartup.vc/ru/
115,Sailing Startup VC Fund ,AgroTech|EdTech|HRTech|RetailTech|FoodTech|Healthcare,Идея|Посевная,Инвестиции,Big Data|Нейротехнологии|Новые и портативные источники энергии,0,https://sailingstartup.vc/ru/
116,Фонд Экспонента,AgroTech|EdTech|FinTech,Ранний рост|Расширение|Посевная,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://fundexpo.ru/
117,Phystech Leadership Fund,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Идея|Посевная,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://plfvc.com/
118,IxD Capital,Transport & Logistics|Business Software|Consumer Goods & Services|CleanTech|FinTech|FoodTech|Healthcare,Идея|Посевная,Инвестиции|Консультационная поддержка по развитию бизнеса,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,http://ixdcapital.com/
119,ИК Криптонит,AgroTech|Cybersecurity|EdTech|PropTech|Telecom|IndustrialTech|FinTech,Ранний рост|Расширение,Инвестиции|Тестирование продукта |Консультационная поддержка по развитию бизнеса|Маркетинг и продвижение |Доступ к потенциальным заказчикам,Big Data|Интернет вещей|Искусственный интеллект и машинное обучение|Робототехника,0,https://kryptonite.ru/investments
120,Elevator Venture,FinTech,Ранний рост|Расширение,Инвестиции|Консультационная поддержка по развитию бизнеса|Маркетинг и продвижение |Доступ к потенциальным заказчикам,,0,https://elevator-ventures.com/
121,Fuel for Growth,AgroTech|FoodTech,Ранний рост,Инвестиции|Консультационная поддержка по развитию бизнеса|Маркетинг и продвижение ,Big Data|Биотехнологии|Искусственный интеллект и машинное обучение,0,https://fuel4growth.vc/
122,Pulsar VC,LegalTech|Advertising & Marketing|FinTech,Ранний рост|Идея|Посевная,Инвестиции|Тестирование продукта |Консультационная поддержка по развитию бизнеса|Маркетинг и продвижение ,AR/VR|Big Data|Блокчейн|Искусственный интеллект и машинное обучение,0,http://pulsar.vc/
123,Iskra Ventures,Transport & Logistics|E-commerce|Entertainment,Ранний рост|Посевная,Инвестиции,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://iskra.vc/
124,Fores Ventures,EdTech|RetailTech|E-commerce|Entertainment|FoodTech|Healthcare,Ранний рост|Идея|Посевная,Инвестиции|Консультационная поддержка по развитию бизнеса|Маркетинг и продвижение ,AR/VR,0,https://www.fores.vc/
125,SmartHub,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Идея|Посевная,Инвестиции|Консультационная поддержка по развитию бизнеса,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://smarthub.vc/
126,DV Capital,AgroTech|Cybersecurity|EdTech|Transport & Logistics|SpaceTech|PropTech|Telecom|IndustrialTech|Gaming|SportTech|InsuranceTech|LegalTech|FashionTech|HRTech|Business Software|Advertising & Marketing|Consumer Goods & Services|RetailTech|SafetyTech|CleanTech|E-commerce|Entertainment|FinTech|FoodTech|Healthcare|Travel|Мedia & Communication,Ранний рост|Идея|Посевная,Инвестиции|Консультационная поддержка по развитию бизнеса,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,https://www.dv-c.ru/ru
127,Amereus Group,Cybersecurity|PropTech|Business Software|E-commerce|Healthcare,Ранний рост|Расширение|Посевная,Инвестиции,Big Data|Интернет вещей|Искусственный интеллект и машинное обучение,0,https://www.amereus.com/
128,Fintech Family Fund,Business Software|E-commerce|FinTech,Идея|Посевная,Инвестиции,Искусственный интеллект и машинное обучение,0,https://get-vision.io/ru
129,Amethyst Capital,PropTech,Ранний рост|Расширение|Посевная,,3D моделирование|AR/VR|Big Data|Аддитивные технологии|Беспилотники|Биометрия|Биотехнологии|Блокчейн|Зеленые технологии|Интернет вещей|Искусственный интеллект и машинное обучение|Компьютерное зрение|Нанотехнологии|Нейротехнологии|Новые и портативные источники энергии|Новые материалы|Робототехника,0,http://amethystcapital.ru/
